Date,Symbol,Price,Chg%,High,Low,Open,Volume
2017-10-23,tcs,1268.66,0.0015,1288.81,1248.83,1266.75,1890000
2017-10-24,tcs,1264.0,-0.0037,1284.83,1259.42,1284.39,1340000
2017-10-25,tcs,1254.93,-0.0072,1281.45,1252.53,1264.05,1110000
2017-10-26,tcs,1244.61,-0.0081999999999999,1259.47,1234.34,1242.77,3010000
2017-10-27,tcs,1266.89,0.0179,1271.23,1240.42,1244.19,1410000
2017-10-30,tcs,1282.53,0.0123,1284.39,1265.62,1267.73,1140000
2017-10-31,tcs,1286.35,0.003,1294.2,1275.23,1275.23,1590000
2017-11-01,tcs,1275.99,-0.0081,1287.75,1264.22,1286.35,741880
2017-11-02,tcs,1287.41,0.0089,1310.87,1277.9,1278.76,1470000
2017-11-03,tcs,1284.44,-0.0023,1292.58,1275.96,1290.47,666890
2017-11-06,tcs,1306.72,0.0173,1309.79,1280.35,1284.39,1380000
2017-11-07,tcs,1328.54,0.0167,1356.95,1306.97,1308.9,2700000
2017-11-08,tcs,1340.77,0.0092,1352.53,1332.56,1334.89,1400000
2017-11-09,tcs,1341.46,0.0005,1348.12,1333.07,1348.12,1150000
2017-11-10,tcs,1327.9,-0.0101,1336.36,1320.35,1334.49,1360000
2017-11-13,tcs,1352.51,0.0185,1361.56,1324.62,1324.62,1500000
2017-11-14,tcs,1330.77,-0.0161,1351.33,1327.29,1351.33,1660000
2017-11-15,tcs,1326.21,-0.0034,1350.57,1324.27,1326.55,6670000
2017-11-16,tcs,1346.48,0.0153,1354.5,1317.21,1328.51,1650000
2017-11-17,tcs,1327.19,-0.0143,1347.19,1325.38,1347.19,1330000
2017-11-20,tcs,1325.3,-0.0014,1336.8,1321.31,1330.96,1010000
2017-11-21,tcs,1310.35,-0.0113,1324.1,1306.94,1324.1,1530000
2017-11-22,tcs,1314.13,0.0029,1328.37,1310.08,1310.38,1820000
2017-11-23,tcs,1314.42,0.0002,1320.18,1308.41,1314.3,793470
2017-11-24,tcs,1317.75,0.0025,1325.03,1310.42,1314.79,2290000
2017-11-27,tcs,1316.67,-0.0008,1321.6,1305.08,1317.73,1860000
2017-11-28,tcs,1316.41,-0.0002,1324.79,1308.9,1316.75,911720
2017-11-29,tcs,1303.1,-0.0101,1320.18,1299.1,1312.58,1450000
2017-11-30,tcs,1292.73,-0.008,1307.41,1285.86,1300.89,4300000
2017-12-01,tcs,1289.27,-0.0027,1307.92,1285.13,1291.75,1030000
2017-12-04,tcs,1290.45,0.0009,1303.27,1276.04,1285.37,1260000
2017-12-05,tcs,1292.02,0.0012,1299.93,1288.39,1289.79,1170000
2017-12-06,tcs,1290.91,-0.0009,1296.65,1280.89,1292.24,1410000
2017-12-07,tcs,1283.05,-0.0060999999999999,1297.11,1281.94,1290.42,1330000
2017-12-08,tcs,1275.32,-0.006,1296.65,1273.12,1283.41,1390000
2017-12-11,tcs,1304.54,0.0229,1310.2,1278.68,1278.68,1010000
2017-12-12,tcs,1280.55,-0.0184,1304.98,1278.22,1304.49,1880000
2017-12-13,tcs,1288.51,0.0062,1299.81,1275.08,1280.18,2960000
2017-12-14,tcs,1253.9,-0.0269,1290.28,1240.81,1290.28,5500000
2017-12-15,tcs,1247.92,-0.0048,1266.97,1243.63,1256.82,2720000
2017-12-18,tcs,1265.03,0.0137,1269.17,1222.8,1243.7,2180000
2017-12-19,tcs,1262.48,-0.002,1273.51,1257.28,1262.82,1800000
2017-12-20,tcs,1269.17,0.0053,1271.03,1250.4,1265.76,1580000
2017-12-21,tcs,1272.48,0.0026,1278.51,1264.81,1268.22,1290000
2017-12-22,tcs,1297.51,0.0197,1305.91,1269.78,1276.55,3670000
2017-12-26,tcs,1298.83,0.001,1318.59,1290.08,1316.75,2180000
2017-12-27,tcs,1284.34,-0.0112,1303.27,1279.74,1298.83,739280
2017-12-28,tcs,1287.8,0.0027,1300.82,1277.36,1278.9,2610000
2017-12-29,tcs,1324.2,0.0283,1327.97,1283.68,1285.91,2610000
