Date,Low,High,Open,Volume,Symbol,Price,Chg%
2018-07-30,3102.82,3212.5,3212.5,387250,britannia,3165.72,-0.0084
2018-07-31,3145.72,3280.0,3189.95,344680,britannia,3271.1,0.0333
2018-08-01,3212.47,3312.5,3290.0,307080,britannia,3244.93,-0.008
2018-08-02,3219.53,3274.5,3240.0,232300,britannia,3228.7,-0.005
2018-08-03,3184.1,3261.0,3260.0,344500,britannia,3196.35,-0.01
2018-08-06,3132.43,3244.0,3220.0,1200000,britannia,3163.35,-0.0103
2018-08-07,3085.0,3183.28,3167.0,699320,britannia,3100.2,-0.02
2018-08-08,3108.03,3158.5,3115.8,383190,britannia,3150.7,0.0163
2018-08-09,3140.28,3179.28,3160.0,261430,britannia,3167.7,0.0054
2018-08-10,3140.55,3181.5,3181.5,218270,britannia,3171.88,0.0013
2018-08-13,3156.5,3225.5,3171.5,324370,britannia,3215.32,0.0137
2018-08-14,3212.28,3247.2,3225.0,336190,britannia,3229.75,0.0045
2018-08-16,3213.05,3260.0,3234.5,295890,britannia,3247.07,0.0054
2018-08-17,3239.6,3320.22,3259.65,403130,britannia,3314.95,0.0209
2018-08-20,3325.0,3393.4,3334.5,289420,britannia,3385.7,0.0213
2018-08-21,3355.03,3457.1,3397.5,440780,britannia,3428.72,0.0127
2018-08-23,3415.85,3467.18,3459.0,325100,britannia,3450.07,0.0062
2018-08-24,3382.5,3445.0,3445.0,275840,britannia,3386.72,-0.0184
2018-08-27,3390.75,3430.0,3393.3,130789,britannia,3402.47,0.0046999999999999
2018-08-28,3409.5,3429.22,3421.95,155310,britannia,3422.82,0.006
2018-08-29,3363.1,3425.5,3425.5,189950,britannia,3367.9,-0.016
2018-08-30,3282.6,3388.0,3367.9,300920,britannia,3345.0,-0.0068
2018-08-31,3325.03,3390.0,3345.3,219380,britannia,3368.38,0.0069999999999999
2018-09-03,3266.0,3407.47,3395.0,170100,britannia,3282.93,-0.0254
2018-09-04,3149.85,3304.32,3268.2,408850,britannia,3172.03,-0.0338
2018-09-05,3025.0,3159.88,3134.0,746630,britannia,3092.5,-0.0250999999999999
2018-09-06,3060.57,3159.47,3099.97,365560,britannia,3097.22,0.0015
2018-09-07,3087.9,3137.2,3120.45,173560,britannia,3114.55,0.0056
2018-09-10,3042.5,3122.5,3120.0,171170,britannia,3047.0,-0.0217
2018-09-11,2960.07,3055.28,3051.3,424090,britannia,2970.03,-0.0253
2018-09-12,2955.18,3030.0,2990.0,439120,britannia,3007.75,0.0127
2018-09-14,3000.0,3075.0,3034.5,522690,britannia,3056.15,0.0161
2018-09-17,2988.28,3054.0,3054.0,295050,britannia,3010.88,-0.0148
2018-09-18,3001.22,3077.7,3011.25,475680,britannia,3033.2,0.0074
2018-09-19,2965.0,3064.0,3064.0,266470,britannia,2979.95,-0.0176
2018-09-21,2685.03,3002.47,2987.55,741490,britannia,2895.38,-0.0283999999999999
2018-09-24,2781.25,2918.75,2918.75,391460,britannia,2801.0,-0.0326
2018-09-25,2741.03,2905.65,2812.5,468200,britannia,2886.93,0.0306999999999999
2018-09-26,2825.0,2937.5,2935.0,381030,britannia,2840.95,-0.0159
