,Date,Price,Open,High,Low,Volume,Chg%
1368,"Sep 11, 2017",273.6,272.4,274.4,271.5,9.31M,0.46%
1369,"Sep 08, 2017",272.35,271.15,273.3,270.0,9.72M,0.72%
1370,"Sep 07, 2017",270.4,277.0,277.55,269.55,19.22M,-1.92%
1371,"Sep 06, 2017",275.7,280.5,281.0,275.25,14.17M,-2.53%
1372,"Sep 05, 2017",282.85,282.65,283.9,281.6,7.82M,-0.09%
1373,"Sep 04, 2017",283.1,283.45,283.85,282.0,8.48M,-0.18%
1374,"Sep 01, 2017",283.6,282.2,284.35,280.7,7.25M,0.48%
1375,"Aug 31, 2017",282.25,283.0,283.15,280.4,11.22M,0.09%
1376,"Aug 30, 2017",282.0,281.15,282.9,280.6,6.53M,0.62%
1377,"Aug 29, 2017",280.25,282.35,282.9,279.4,6.14M,-0.78%
1378,"Aug 28, 2017",282.45,282.1,283.0,279.3,9.97M,0.36%
1379,"Aug 24, 2017",281.45,282.0,283.5,281.1,10.82M,-0.39%
