Date,Low,Volume,Price,Chg%,High,Open
2022-08-08,3612.8,310090,3631.4,-0.0154,3701.9,3688.1
2022-08-10,3624.05,191220,3647.75,0.0045,3674.8,3640.0
2022-08-11,3632.2,167070,3640.3,-0.002,3682.8,3666.0
2022-08-12,3607.65,228590,3659.75,0.0053,3667.3,3650.0
2022-08-16,3675.0,239510,3690.45,0.0084,3723.95,3678.05
2022-08-17,3681.15,353940,3705.2,0.004,3714.95,3693.0
2022-08-18,3681.05,232260,3693.05,-0.0033,3726.95,3712.0
2022-08-19,3642.45,177960,3662.55,-0.0083,3709.45,3693.05
2022-08-22,3635.05,366370,3676.45,0.0038,3733.0,3662.55
2022-08-23,3638.0,189150,3678.7,0.0006,3704.95,3650.0
2022-08-24,3636.45,187720,3659.15,-0.0053,3688.0,3677.0
2022-08-25,3640.0,208580,3646.6,-0.0034,3678.2,3677.45
2022-08-26,3627.1,220800,3650.15,0.001,3668.0,3664.85
2022-08-29,3585.25,525680,3707.65,0.0158,3730.0,3618.0
2022-08-30,3717.0,467340,3747.75,0.0108,3766.15,3717.0
2022-09-01,3672.1,314890,3718.15,-0.0079,3745.4,3730.0
2022-09-02,3700.0,202150,3704.25,-0.0037,3758.9,3736.75
2022-09-05,3658.1,234230,3662.6,-0.0112,3715.0,3681.0
2022-09-06,3595.0,390750,3608.8,-0.0147,3692.6,3672.0
2022-09-07,3588.0,287730,3667.9,0.0163999999999999,3674.8,3600.0
2022-09-08,3632.9,384830,3672.65,0.0013,3687.0,3683.0
2022-09-09,3641.85,134490,3649.5,-0.0063,3700.0,3685.5
2022-09-12,3640.2,212690,3671.85,0.0060999999999999,3697.95,3640.2
2022-09-13,3665.0,398870,3757.7,0.0233999999999999,3765.0,3665.0
2022-09-14,3708.0,389250,3747.0,-0.0028,3761.7,3708.0
2022-09-15,3713.05,311460,3721.55,-0.0068,3789.0,3765.0
2022-09-16,3621.1,559140,3639.55,-0.022,3741.4,3703.55
2022-09-19,3564.1,211800,3592.35,-0.013,3642.15,3635.0
2022-09-20,3602.0,346600,3650.6,0.0162,3665.0,3610.35
2022-09-21,3637.0,773840,3765.65,0.0315,3789.0,3646.0
2022-09-22,3751.0,687170,3825.95,0.016,3835.45,3764.0
2022-09-23,3782.35,326580,3796.7,-0.0076,3842.8,3825.95
2022-09-26,3775.5,626880,3787.5,-0.0024,3827.85,3796.7
2022-09-27,3800.0,584760,3824.15,0.0097,3889.8,3806.45
2022-09-28,3795.6,364920,3853.2,0.0076,3868.0,3817.9
2022-09-29,3810.0,450210,3864.5,0.0029,3873.0,3871.45
2022-09-30,3820.05,309900,3843.05,-0.0056,3887.65,3870.0
2022-10-03,3753.8,251830,3768.95,-0.0192999999999999,3878.2,3862.0
2022-10-04,3775.55,153840,3818.15,0.0131,3826.65,3807.0
2022-10-06,3760.7,308220,3767.55,-0.0133,3847.65,3837.25
2022-10-07,3732.25,318470,3785.65,0.0048,3795.0,3776.0
2022-10-10,3717.0,185200,3797.85,0.0032,3812.0,3750.0
